,0
0,18.000634406779668
1,13.152523939393939
2,9.882099137931027
3,8.035988983050851
4,6.6884477966101725
5,5.710823728813558
6,4.984613220338988
7,4.441597118644066
8,3.777694680851062
9,3.845301969696969
10,3.8199553246753237
11,6.225054591484461
12,3.9854234821099266
13,2.654832770252317
14,2.4524248596210914
15,2.255028842419709
16,1.6962915233284022
17,2.621500913610783
18,3.4948195422355175
19,1.4837313121069902
20,1.0021596413555318
21,0.6639005644796365
22,1.2718451204964993
23,1.4801813413025746
24,0.4468976992529923
25,3.0073117580456934
26,-1.8878186938435402
27,-1.3369301814815557
28,0.1981151298989785
29,-0.4061415284428877
30,0.6460264229181221
31,0.536250565456635
32,-0.8897825237514326
33,-0.5187650855425013
34,-0.4069016847068827
